config_id,strategy,ema_window,signal_window,signal_level,atr_window,sl_atr,rr,direction,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,profit_factor_r,total_r,max_drawdown_r,target_hit
C0286,rsi_pullback,200,14,20.0,14,1.25,2.0,short,3,0.6666666666666666,1.7787437695949415,-1.1972142258371345,0.7867577711175828,2.9714711556341236,2.3602733133527485,1.1972142258371345,True
C0290,rsi_pullback,200,14,20.0,14,1.75,1.5,short,3,0.6666666666666666,1.3420098454269516,-1.1410673441773678,0.5143174488921785,2.3522009498824974,1.5429523466765354,1.1410673441773678,True
C0284,rsi_pullback,200,14,20.0,14,1.25,1.5,short,3,0.6666666666666666,1.2783936995809302,-1.1972142258371345,0.4531910577749086,2.135613947766169,1.3595731733247258,1.1972142258371345,True
C0257,rsi_pullback,100,14,30.0,14,1.75,2.5,long,11,0.36363636363636365,2.3230778473170486,-1.149763074723051,0.1130881696551671,1.1545622613854571,1.2439698662068381,6.883204855431796,False
C0294,rsi_pullback,200,14,20.0,14,1.75,2.5,short,3,0.3333333333333333,2.354940537656915,-1.1565192005112004,0.013967378878171344,1.0181156251517454,0.04190213663451403,1.1719710568450332,False
C0052,donchian_breakout,50,96,0.0,14,1.75,2.5,long,842,0.332541567695962,2.3461380230423288,-1.2273268049308637,-0.03900120893027702,0.9523904994238336,-32.83901791929325,88.97528479827113,False
C0106,donchian_breakout,100,96,0.0,14,1.75,2.5,long,842,0.332541567695962,2.3461380230423288,-1.2273268049308637,-0.03900120893027702,0.9523904994238336,-32.83901791929325,88.97528479827113,False
C0160,donchian_breakout,200,96,0.0,14,1.75,2.5,long,826,0.3305084745762712,2.3501026895794794,-1.2269933837914542,-0.044732817168857554,0.9455448517164643,-36.94930698147634,82.01523445015023,False
C0288,rsi_pullback,200,14,20.0,14,1.25,2.5,short,3,0.3333333333333333,2.296216612691661,-1.2188468247044664,-0.047159012239090504,0.9419627496049081,-0.14147703671727152,1.2404794235717982,False
C0049,donchian_breakout,50,96,0.0,14,1.75,2.0,long,914,0.38183807439824946,1.856516598615467,-1.2291745103476293,-0.05094015911336165,0.9329583800964172,-46.55930542961255,81.58277329028246,False
C0103,donchian_breakout,100,96,0.0,14,1.75,2.0,long,914,0.38183807439824946,1.856516598615467,-1.2291745103476293,-0.05094015911336165,0.9329583800964172,-46.55930542961255,81.58277329028246,False
C0157,donchian_breakout,200,96,0.0,14,1.75,2.0,long,897,0.3801560758082497,1.859693842849995,-1.228109818009116,-0.05426249543056868,0.9287179451826097,-48.6734584012201,73.38502717483998,False
C0255,rsi_pullback,100,14,30.0,14,1.75,2.0,long,11,0.36363636363636365,1.823427777331049,-1.149763074723051,-0.06860276488519636,0.9062377743818554,-0.75463041373716,6.883204855431796,False
C0142,donchian_breakout,200,48,0.0,14,1.75,2.5,long,1176,0.3273809523809524,2.3221151146710546,-1.2352839542890122,-0.07065925909375217,0.9149580681355479,-83.09528869425256,102.75514591802676,False
C0139,donchian_breakout,200,48,0.0,14,1.75,2.0,long,1269,0.37903861308116626,1.8259720158502017,-1.2342656077409457,-0.07431738319615289,0.90303451230983,-94.308759275918,104.93830646581077,False
C0046,donchian_breakout,50,96,0.0,14,1.75,1.5,long,1000,0.443,1.3678034864560982,-1.2273585599874806,-0.0777017734129752,0.8863408824324949,-77.7017734129752,97.32355130024838,False
C0100,donchian_breakout,100,96,0.0,14,1.75,1.5,long,1000,0.443,1.3678034864560982,-1.2273585599874806,-0.0777017734129752,0.8863408824324949,-77.7017734129752,97.32355130024838,False
C0154,donchian_breakout,200,96,0.0,14,1.75,1.5,long,981,0.44240570846075433,1.3696634901316131,-1.2265714347895498,-0.07798228349924952,0.8859790164604938,-76.50062011276377,91.63069209722406,False
C0186,rsi_pullback,50,7,30.0,14,1.75,2.5,short,256,0.3203125,2.282199924234033,-1.195307055152495,-0.08141810081774749,0.8997851220637797,-20.843033809343357,29.844647189082554,False
