config_id,family,direction,params_json,validation_mean_expectancy_r,validation_median_expectancy_r,validation_min_expectancy_r,validation_std_expectancy_r,validation_positive_fold_ratio,total_validation_trades,folds_selected,validation_mean_winrate,validation_mean_avg_win_r,validation_mean_avg_loss_r,validation_mean_profit_factor_r,validation_max_drawdown_r,cost_r_per_trade,robust_score
0049a2440077d5,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 48, ""rr"": 2.5, ""sl_atr"": 2.25}",-0.22406744678685311,-0.1723769021936055,-0.6171477820618008,0.267875317140154,0.25,148,4,0.2612606905289832,2.3436715084426223,-1.1344599116038436,0.7590110672928969,26.82130884513514,0.15778359335568956,-0.4836717720235968
415dd941af93e8,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 20, ""rr"": 2.5, ""sl_atr"": 1.25}",-0.18691644545102853,-0.15634932359712314,-1.0036690630250429,0.5330986168824678,0.4,233,5,0.31012759535535245,2.2632069594260487,-1.2824762239173377,0.9219623954698541,33.866561966982445,0.2860041910796774,-0.5357990872255958
cf6e6f8b442621,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.25, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",-0.31003506203485803,-0.21131246092613218,-0.8064355385109547,0.27932123058054076,0.2,231,5,0.24132418193308122,2.3314215237554814,-1.1501026956914289,0.6753267330975801,24.154466561774804,0.1674568294071376,-0.5526956773251285
db11c1e81f40a9,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 115, ""rr"": 2.5, ""sl_atr"": 1.75}",-0.23700800596509802,-0.0072387711678020775,-1.038392400448579,0.45937388376503346,0.4,140,5,0.2781196349507545,2.286902323597416,-1.2080458331986361,0.8126250725086459,15.62278236582723,0.2125055119500554,-0.5800282811809482
0049f87d094ef0,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 2.25}",-0.29785222908120146,-0.2868166325936715,-0.7169505115416057,0.292905737751628,0.25,108,4,0.28885281385281386,1.836908360222668,-1.1632164268138587,0.6840510701846462,15.150913078539826,0.16419203719418102,-0.5833050979570156
99a721e5b120ae,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75}",-0.28030913670049784,-0.16671842383283533,-1.0253120301256378,0.4197829897296677,0.4,144,5,0.2653098862776282,2.2896769621320523,-1.206632381971082,0.7520219172741651,15.555527164706383,0.20935738407519447,-0.6022006315653317
d469d5382ce9e0,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 7, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75}",-0.3195150172135557,-0.2254151552845171,-0.8670536436547125,0.3402190871075755,0.25,165,4,0.24229040020263423,2.3115611390850077,-1.1594630985108834,0.6794568073930465,21.91679368589287,0.18199008457607235,-0.6096245607673435
2aa159ae472cd3,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 115, ""rr"": 2.5, ""sl_atr"": 2.25}",-0.2916376918913944,-0.11346633913085145,-0.9433552921225251,0.3707362221189969,0.2,128,5,0.24779099284104844,2.3293776330641727,-1.1548070116071254,0.7167169264840881,15.530090905689224,0.1644438342835806,-0.6143391362842262
b4dbb83f1cf790,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 1.75}",-0.2957294066694628,-0.11748862718403348,-1.0637466508937925,0.41853685305871274,0.4,151,5,0.3048536036036036,1.7950257474040847,-1.2112365597168961,0.728285805495732,17.83455158980566,0.21142032569035574,-0.6146644998654859
431935ee5b8306,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 77, ""rr"": 2.5, ""sl_atr"": 1.75}",-0.2885524463648599,-0.14847212600655818,-1.0253120301256378,0.43049297832243727,0.2,153,5,0.26270463958304247,2.291113862140634,-1.2058032709882744,0.7479725134387175,19.257685628798473,0.20896036260401624,-0.6327989355260787
