config_id,family,direction,params_json,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,profit_factor_r,total_r,max_drawdown_r,cost_r_per_trade,evidence,fee_per_fill,slippage_per_fill
302cd96b01ebc1,rsi_extreme,short,"{""atr_window"": 14, ""level"": 25.0, ""regime_ema"": 100, ""rr"": 2.5, ""rsi_window"": 14, ""sl_atr"": 1.75}",6,0.3333333333333333,2.136228388452536,-1.1282518350483657,-0.04009176054806518,0.9466983886451913,-0.24055056328839108,2.3376664142907337,0.24132614307387043,insufficient,0.0005,0.0002
7718289b7a06d2,bollinger_reentry,short,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 1.5, ""sl_atr"": 2.25, ""std_mult"": 2.0, ""window"": 60}",76,0.4605263157894737,1.3334894562634314,-1.2152578947492907,-0.04149266730922126,0.9367103581093773,-3.1534427155008156,15.752446357024489,0.22504053887978728,very_weak,0.0005,0.0002
c20531ea948b3f,bollinger_reentry,long,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 2.5, ""sl_atr"": 1.25, ""std_mult"": 2.5, ""window"": 60}",48,0.3541666666666667,2.2755865113627753,-1.3128069375306193,-0.04191759104754217,0.9505603944872832,-2.012044370282024,14.80948497975793,0.3282604139033397,very_weak,0.0005,0.0002
a642206fe98768,bollinger_reentry,long,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 2.0, ""sl_atr"": 2.25, ""std_mult"": 2.0, ""window"": 60}",95,0.3684210526315789,1.840992917890167,-1.1460737620407395,-0.04557551153987918,0.9370361411325603,-4.329673596288522,16.887105522149035,0.17591301903272424,very_weak,0.0005,0.0002
ac1fa72f016e1e,rsi_extreme,short,"{""atr_window"": 14, ""level"": 30.0, ""regime_ema"": 100, ""rr"": 2.5, ""rsi_window"": 14, ""sl_atr"": 2.25}",19,0.3157894736842105,2.2906941509703773,-1.1333132175960074,-0.05204773278557001,0.9328784292630533,-0.9889069229258303,7.7899977776636975,0.1835939309923909,insufficient,0.0005,0.0002
2eb097e36ac9d6,bollinger_reentry,long,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 1.5, ""sl_atr"": 1.75, ""std_mult"": 2.5, ""window"": 60}",46,0.45652173913043476,1.3252375284867557,-1.2203312580382586,-0.05822376853770869,0.9122109399364208,-2.6782933527346,11.982583951915565,0.23269456922009418,very_weak,0.0005,0.0002
bbd328803f4138,bollinger_reentry,short,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 2.0, ""sl_atr"": 1.75, ""std_mult"": 2.0, ""window"": 60}",81,0.3950617283950617,1.7812861197104264,-1.2624451319795238,-0.059983402916827494,0.9214569924957627,-4.858655636263027,18.828205153702662,0.2861478936741687,very_weak,0.0005,0.0002
23e0888001ab8c,ema_slope_pullback,long,"{""atr_window"": 14, ""ema_window"": 50, ""pullback_atr"": 0.75, ""rr"": 2.5, ""sl_atr"": 1.25, ""slope_lookback"": 3}",3,0.3333333333333333,2.339367535343518,-1.260467936059615,-0.06052277892523724,0.9279758208910424,-0.18156833677571171,1.3575607345688945,0.26494917385227096,insufficient,0.0005,0.0002
aee68a97d682cd,ema_slope_pullback,both,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.5, ""rr"": 1.5, ""sl_atr"": 1.75, ""slope_lookback"": 12}",8,0.5,1.1273268624308082,-1.2555526553602268,-0.06411289646470936,0.8978730263665209,-0.5129031717176749,2.784784662099252,0.366972440034932,insufficient,0.0005,0.0002
8bf3bd21d4a3dc,ema_slope_pullback,long,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.5, ""rr"": 2.0, ""sl_atr"": 1.75, ""slope_lookback"": 6}",5,0.4,1.822251640997037,-1.3265512069846175,-0.06703006779195567,0.9157840428133922,-0.3351503389597783,2.565986985651545,0.3114081020979315,insufficient,0.0005,0.0002
7d11b269d17de0,rsi_extreme,long,"{""atr_window"": 14, ""level"": 30.0, ""regime_ema"": 100, ""rr"": 2.0, ""rsi_window"": 14, ""sl_atr"": 1.75}",11,0.36363636363636365,1.823427777331049,-1.149763074723051,-0.06860276488519636,0.9062377743818554,-0.75463041373716,6.883204855431796,0.1860446383822498,insufficient,0.0005,0.0002
9d9ed6a6ccd8b3,ema_slope_pullback,long,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.5, ""rr"": 2.0, ""sl_atr"": 1.25, ""slope_lookback"": 3}",7,0.42857142857142855,1.7361339949944155,-1.422377218878116,-0.06872955578988812,0.9154396449577761,-0.48110689052921685,4.11009564207804,0.41333274092282835,insufficient,0.0005,0.0002
f509e8676ac035,ema_slope_pullback,both,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.5, ""rr"": 2.0, ""sl_atr"": 1.25, ""slope_lookback"": 3}",14,0.42857142857142855,1.5639718967595904,-1.2952647175070533,-0.06987759710706323,0.905590113523111,-0.9782863594988853,5.37826560139262,0.41485705577484355,insufficient,0.0005,0.0002
32de236b8975bc,ema_slope_pullback,short,"{""atr_window"": 14, ""ema_window"": 34, ""pullback_atr"": 0.5, ""rr"": 2.0, ""sl_atr"": 1.25, ""slope_lookback"": 3}",7,0.42857142857142855,1.3918097985247648,-1.168152216135991,-0.07102563842423845,0.8935970282592457,-0.49717946896966914,3.613309119873291,0.4163813706268587,insufficient,0.0005,0.0002
9005f9d4eafb1c,bollinger_reentry,short,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 1.5, ""sl_atr"": 2.25, ""std_mult"": 2.5, ""window"": 60}",30,0.43333333333333335,1.3317573267737712,-1.1467185416992987,-0.07271233202763491,0.8881016785002718,-2.1813699608290475,4.955823515330755,0.1821000961627819,very_weak,0.0005,0.0002
9bb4d11cb757e2,ema_slope_pullback,both,"{""atr_window"": 14, ""ema_window"": 50, ""pullback_atr"": 0.75, ""rr"": 2.0, ""sl_atr"": 1.25, ""slope_lookback"": 3}",5,0.4,1.7077291073406133,-1.2609949694870222,-0.07350533875596806,0.9028474332641863,-0.36752669377984026,2.4254241738921722,0.3192527671674428,insufficient,0.0005,0.0002
4e847cca36dba4,rsi_extreme,short,"{""atr_window"": 14, ""level"": 20.0, ""regime_ema"": 100, ""rr"": 2.5, ""rsi_window"": 7, ""sl_atr"": 2.25}",67,0.31343283582089554,2.3413194984633328,-1.1823228677593125,-0.07789764849549842,0.9040366878161984,-5.219142449198394,19.52746510405408,0.18699082970845032,very_weak,0.0005,0.0002
72fa00749f41ce,rsi_extreme,short,"{""atr_window"": 14, ""level"": 30.0, ""regime_ema"": 200, ""rr"": 2.5, ""rsi_window"": 14, ""sl_atr"": 2.25}",72,0.3055555555555556,2.345453545167735,-1.1532436679839078,-0.08419729729868358,0.8948668772471455,-6.062205405505218,14.856594812730012,0.1786901203415358,very_weak,0.0005,0.0002
4a861648f47c64,rsi_extreme,long,"{""atr_window"": 14, ""level"": 20.0, ""regime_ema"": 100, ""rr"": 2.5, ""rsi_window"": 7, ""sl_atr"": 2.25}",67,0.29850746268656714,2.3818891355232106,-1.135103497176649,-0.08525495010206408,0.8929316555050295,-5.712081656838293,10.47268599858448,0.15168404750397405,very_weak,0.0005,0.0002
a2c3ab99478c4a,rsi_extreme,long,"{""atr_window"": 14, ""level"": 30.0, ""regime_ema"": 200, ""rr"": 2.5, ""rsi_window"": 14, ""sl_atr"": 2.25}",81,0.2962962962962963,2.3739894723928656,-1.1240777866327671,-0.08761341358813517,0.8892396296576679,-7.096686500638948,20.63878452710215,0.14541224623374996,very_weak,0.0005,0.0002
52b22a95943673,rsi_extreme,short,"{""atr_window"": 14, ""level"": 20.0, ""regime_ema"": 100, ""rr"": 1.5, ""rsi_window"": 7, ""sl_atr"": 1.75}",68,0.45588235294117646,1.3029932420674104,-1.2573380305637492,-0.09012818568777936,0.8682605744149746,-6.1287166267689965,16.5670395410142,0.24161827362858884,very_weak,0.0005,0.0002
