config_id,family,direction,params_json,train_trades,train_expectancy_r,validation_trades,validation_expectancy_r,validation_winrate,validation_avg_win_r,validation_avg_loss_r,validation_profit_factor_r,validation_max_drawdown_r,validation_cost_r_per_trade,fold_id,train_start,train_end,validation_start,validation_end
8f1bcbc6764d37,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.75, ""sl_atr"": 1.75}",175,0.3463668394846805,30,-0.44873805377587056,0.2,2.610183184005233,-1.2134683632211465,0.537752623619398,18.70531306196602,0.22777964344439774,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
f3fe1c15720248,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25, ""weekday_filter"": ""mon_thu""}",106,0.34464336077664043,15,-0.4323613991090588,0.2,2.3843841850102105,-1.136547795138876,0.5244795236963308,9.02103009085371,0.15468462623484547,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
db11c1e81f40a9,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 115, ""rr"": 2.5, ""sl_atr"": 1.75}",184,0.3430313417462712,31,0.18029583252089296,0.3870967741935484,2.3283952974210576,-1.1763985663634215,1.250057160090482,8.088535223386575,0.2033673511284541,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
7db4b0aa60e888,atr_expansion_breakout,long,"{""atr_mean_window"": 230, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",169,0.34273880003134755,29,-0.04396977423524088,0.3103448275862069,2.365974871202472,-1.1284448646822116,0.9435008526898174,7.845549835923764,0.15182010316719702,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
14a0333efbbb11,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.75, ""sl_atr"": 2.25}",156,0.3406316575320834,27,-0.5905445961680562,0.14814814814814814,2.6449689075651825,-1.1532425968173152,0.3988706226161878,21.244093172151004,0.17083299392642456,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
c863b439a98aa9,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 2.25, ""weekday_filter"": ""weekdays""}",141,0.3399070222312876,20,-0.07596600902502033,0.35,1.8907323938993414,-1.1349574567535228,0.8970262872674385,5.41948014042146,0.14693665787647875,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
b4568def8970eb,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""session"": ""high_liquidity"", ""sl_atr"": 1.75}",129,0.3320374914833208,21,0.49807199262636087,0.47619047619047616,2.326818842657957,-1.164425143765999,1.816595826950697,4.572446541052843,0.19617233299876863,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
863aeec0f5af83,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 17, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 2.25}",142,0.33017227004199146,20,-0.2483930158406702,0.3,1.884079483230981,-1.1623098011570918,0.6947051765945557,9.27149914052654,0.17322704126437782,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
431935ee5b8306,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 77, ""rr"": 2.5, ""sl_atr"": 1.75}",193,0.3295787335086068,33,-0.0007538888198673463,0.3333333333333333,2.330123636765165,-1.1661926516123833,0.9990303203949731,10.349463023961198,0.19521066753049815,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
111d9e990bb7ae,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",161,0.3288138676692541,28,-0.273304211874729,0.25,2.390382463885344,-1.1611997704614199,0.6861818051443724,12.452256938119875,0.17314383951666798,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
99a721e5b120ae,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75}",189,0.32548961881158217,31,0.06976594061329588,0.3548387096774194,2.330123636765165,-1.1734307922702323,1.0921547386202435,8.211306877612536,0.20069033518761653,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
93983b74b7b9d7,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 2.25}",174,0.2862132165519666,28,-0.3982167293712297,0.25,1.8907323938993414,-1.1611997704614199,0.5427525455411895,14.950507288049897,0.17314383951666798,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
7f53c01695b964,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75}",180,0.2856390324418617,30,-0.49870306077447063,0.2,2.360358149012233,-1.2134683632211465,0.4862834130151264,19.704613201938013,0.22777964344439774,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
cf6e6f8b442621,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.25, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25}",275,0.2778305839530585,48,0.03196198956260449,0.3333333333333333,2.3712115108280516,-1.137662771070119,1.0421416482661292,6.7758667262020005,0.15683109331229117,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
0049a2440077d5,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 48, ""rr"": 2.5, ""sl_atr"": 2.25}",187,0.2757149366668003,35,-0.02532739664024386,0.3142857142857143,2.3714217164395124,-1.1238374068017987,0.9671342255174318,6.943884440711197,0.14615069324839772,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
415dd941af93e8,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 20, ""rr"": 2.5, ""sl_atr"": 1.25}",285,0.2750269222127759,45,0.47758971222358626,0.4888888888888889,2.2555612460501737,-1.223078711436628,1.7639857072264233,6.23628173215781,0.2718927218942916,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
836ff872e09519,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.25}",206,0.27209360990105214,33,0.3459179316428259,0.45454545454545453,2.256010166107594,-1.2458255970778143,1.5090462711362185,6.550377565652821,0.28537382683799556,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
b4dbb83f1cf790,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.0, ""sl_atr"": 1.75}",201,0.2687916999321328,32,0.046376848692659026,0.40625,1.8325747198648483,-1.1757585368462078,1.0664323279804069,9.611022689862104,0.20094683885729955,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
746a32c45fd61c,atr_expansion_breakout,long,"{""atr_mean_window"": 192, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 48, ""rr"": 2.5, ""sl_atr"": 1.75}",216,0.26818491320327115,38,0.03453586668313014,0.34210526315789475,2.3357505933110922,-1.16209579116341,1.0451722807685278,10.03887517789169,0.18983230412456864,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
d4144b222f8101,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 20, ""rr"": 2.0, ""sl_atr"": 2.25}",206,0.2653522765848492,33,-0.4087156049497141,0.24242424242424243,1.8938123796150959,-1.145524560010453,0.5290327092343622,17.288053828996034,0.15889427095385517,F01,2021-01-01 00:00:00+00:00,2024-04-25 08:30:00+00:00,2024-04-25 08:30:00+00:00,2024-10-25 08:30:00+00:00
db48581cdd6ca6,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25, ""weekday_filter"": ""weekdays""}",150,0.3853632242207937,24,-0.9648981896385326,0.041666666666666664,2.359760809538174,-1.1094485809070853,0.09247683744206761,23.157556551324788,0.11922907658718405,F02,2021-01-01 00:00:00+00:00,2024-10-25 08:30:00+00:00,2024-10-25 08:30:00+00:00,2025-04-25 08:30:00+00:00
