config_id,strategy,ema_window,signal_window,signal_level,atr_window,sl_atr,rr,direction,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,profit_factor_r,total_r,max_drawdown_r,target_hit
C0186,rsi_pullback,50,7,30.0,14,1.75,2.5,short,107,0.3644859813084112,2.267576425830229,-1.2881792327531238,0.00784385775856555,1.0095813847723838,0.8392927801665138,22.732615196401483,False
C0157,donchian_breakout,200,96,0.0,14,1.75,2.0,long,293,0.32081911262798635,1.7300229208254554,-1.2793245270453328,-0.31386834923013146,0.6387720545452036,-91.96342632442853,99.05119525180572,False
C0154,donchian_breakout,200,96,0.0,14,1.75,1.5,long,315,0.37142857142857144,1.2504839652455324,-1.2810960159023252,-0.34079488004740677,0.576789197630266,-107.35038721493314,112.27952076626963,False
C0049,donchian_breakout,50,96,0.0,14,1.75,2.0,long,304,0.3223684210526316,1.728339519263793,-1.2815312693585916,-0.31124397565795453,0.641591657542444,-94.61816860001818,105.01620883767886,False
C0103,donchian_breakout,100,96,0.0,14,1.75,2.0,long,304,0.3223684210526316,1.728339519263793,-1.2815312693585916,-0.31124397565795453,0.641591657542444,-94.61816860001818,105.01620883767886,False
