config_id,family,direction,params_json,macro_expectancy_r,micro_expectancy_r,median_expectancy_r,worst_fold_expectancy_r,validation_std_expectancy_r,positive_fold_ratio,total_validation_trades,folds_tested,total_folds,all_folds_tested,validation_mean_winrate,validation_mean_avg_win_r,validation_mean_avg_loss_r,validation_mean_profit_factor_r,validation_max_drawdown_r,cost_r_per_trade,robust_score
5ab4d0cd3e46bf,roc_momentum,long,"{""atr_window"": 14, ""regime_ema"": 200, ""roc_window"": 3, ""rr"": 1.5, ""sl_atr"": 2.25, ""threshold"": 0.0125}",-0.073799934221539,-0.02567251663887825,-0.03320389476632962,-0.40483999234276485,0.18459338221935812,0.4,243,5,5,True,0.4225946585530764,1.3871324786567976,-1.142560515780172,0.9206371757418186,12.816507658533116,0.14087333383018036,-0.24509662533121807
5adb485d0f58d7,breakout_volume,long,"{""atr_window"": 14, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25, ""volume_mult"": 1.5, ""volume_window"": 96, ""weekday_filter"": ""weekdays""}",-0.18659705255852757,-0.17660485485178815,-0.22078058047331,-0.3195740110017765,0.10518559868843053,0.0,357,5,5,True,0.281703919124775,2.3207680497740895,-1.1698507161982639,0.7833609880878958,31.16489543401099,0.18672832379360438,-0.33918985190274287
5b86918cb0dc90,rsi_extreme,short,"{""atr_window"": 14, ""level"": 30.0, ""regime_ema"": 100, ""rr"": 2.5, ""rsi_window"": 7, ""sl_atr"": 2.25, ""weekday_filter"": ""mon_thu""}",-0.03719703230792221,-0.01732046913884681,-0.0068404482752726,-0.34303258309777357,0.16702307402592564,0.4,198,5,5,True,0.3236075650118203,2.3341793329710603,-1.1727418407715107,0.96887862849554,15.311108406516434,0.18995500419769817,-0.21470856932088503
5ddb654c94ff4d,bollinger_reentry,short,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 1.5, ""sl_atr"": 1.25, ""std_mult"": 2.5, ""window"": 20}",-0.39813137194852555,-0.43539329645082975,-0.3727988607951825,-0.8052396491301662,0.26235652338792964,0.0,115,5,5,True,0.3813350900307422,1.2069100601447889,-1.391640727976959,0.5697629595405144,18.557884716156764,0.3804761828069613,-0.690976300309157
5e047d05ee3f21,momentum_volume,long,"{""atr_window"": 14, ""roc_window"": 3, ""rr"": 2.5, ""sl_atr"": 2.25, ""threshold"": 0.005, ""volume_mult"": 1.0, ""volume_window"": 48}",-0.13638140534205925,-0.12374464930598152,-0.13831938438574315,-0.20806208745233776,0.049079743027034606,0.0,929,5,5,True,0.2908461618847541,2.343072085706563,-1.1533084325950904,0.8347444681139166,47.47181299089384,0.17925633738875316,-0.26092127685557653
5e8b10f5a90c4a,bollinger_reentry,short,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 2.5, ""sl_atr"": 1.75, ""std_mult"": 2.5, ""window"": 20}",-0.2997688632284662,-0.34238398253183666,-0.3266755604306421,-0.6711440243551114,0.36012691133318897,0.2,112,5,5,True,0.2715007215007215,2.267958458185597,-1.2586505386197904,0.7212450471025857,18.4572289301928,0.2729205801495339,-0.6224989855617273
5ea68c553e02f6,rolling_range_breakout,long,"{""atr_window"": 14, ""breakout_atr_buffer"": 0.25, ""lookback"": 96, ""regime_ema"": 200, ""rr"": 2.5, ""session"": ""overlap"", ""sl_atr"": 2.25}",-0.20378602243894545,-0.17044287879073844,-0.17953462024968184,-0.39954034619311307,0.1025932586090455,0.0,136,5,5,True,0.28395262145262146,2.313563443247132,-1.2011476455665457,0.7672790952848054,14.618142339617737,0.21816365159273937,-0.40974931841013484
5eae760bf50f0d,bollinger_fade,short,"{""atr_window"": 14, ""regime_ema"": 200, ""rr"": 2.0, ""sl_atr"": 2.25, ""std_mult"": 2.0, ""window"": 20}",-0.14665193672975532,-0.16735780098993042,-0.15293366002952344,-0.3335321729322107,0.11894413002718225,0.2,588,5,5,True,0.34591029525338535,1.8001341902602221,-1.176498044218901,0.8189005939180365,42.989790408675624,0.21151953777415286,-0.28612400174334646
5f3680ba82e089,donchian_breakout,long,"{""atr_window"": 14, ""lookback"": 96, ""regime_ema"": 100, ""rr"": 2.5, ""sl_atr"": 2.25, ""weekday_filter"": ""mon_thu""}",-0.25486982049179696,-0.19974706873364897,-0.16049069848941613,-0.5682341630137687,0.17009584486158208,0.0,321,5,5,True,0.2624158980499649,2.3256642686918996,-1.1711529558156553,0.7180969179527984,26.256890701282977,0.18574896368513194,-0.439917742922588
5f3faf86cf8684,bollinger_reentry,long,"{""atr_window"": 14, ""regime_ema"": 160, ""rr"": 2.0, ""sl_atr"": 1.75, ""std_mult"": 2.5, ""window"": 60}",0.1607252106659557,0.03841490194866563,0.1753538230789765,-0.45221497130519,0.465546588123858,0.6,57,5,5,True,0.4693252361673414,1.763166727188389,-1.2593671761574456,1.6140593298991817,7.198028212742079,0.2928760998596485,-0.19304808339597335
5fd0b084433f8b,zscore_reversion,long,"{""atr_window"": 14, ""rr"": 2.5, ""sl_atr"": 2.25, ""window"": 40, ""zscore_threshold"": 2.0}",-0.18302492990431923,-0.18666217785362904,-0.16185674127735858,-0.22965194775882292,0.03697053315750394,0.0,955,5,5,True,0.2817992488368869,2.3344314030231734,-1.170736012279175,0.7830573568010603,63.81665593458884,0.19400247982291438,-0.3015101964830712
600ae9a21bb283,breakout_volume,long,"{""atr_window"": 14, ""lookback"": 48, ""rr"": 2.0, ""sl_atr"": 2.25, ""volume_mult"": 1.5, ""volume_window"": 96, ""weekday_filter"": ""mon_thu""}",-0.19044678177753085,-0.16099721960645458,-0.183096787929135,-0.37804353294836424,0.10316879001932981,0.0,438,5,5,True,0.32674806162020686,1.8341132499366537,-1.1727979856771695,0.7652647448823549,37.13546431054138,0.18690008632448965,-0.34203117678719575
601d792cfd0d66,roc_momentum,both,"{""atr_window"": 14, ""regime_ema"": 200, ""roc_window"": 3, ""rr"": 2.0, ""sl_atr"": 2.25, ""threshold"": 0.01}",-0.05987142428473656,-0.04893593745824417,-0.08001797834562226,-0.28509934781470686,0.14843710077333047,0.4,722,5,5,True,0.3554276398790606,1.891742999966246,-1.1342640448549914,0.9340117256059811,32.5662729445276,0.14568810833404217,-0.1940899746714018
60bcc8e1d510f1,zscore_reversion,short,"{""atr_window"": 14, ""rr"": 2.5, ""session"": ""new_york"", ""sl_atr"": 2.25, ""window"": 80, ""zscore_threshold"": 2.0}",-0.153148825915278,-0.18225594464194103,-0.18326850490465557,-0.3284793326096431,0.17095792505481014,0.2,388,5,5,True,0.28984732329954865,2.341640909745218,-1.1708584831658109,0.8311125910787199,41.59377501374892,0.19343583783065058,-0.3186277884426831
62070cbdea1f56,rsi_momentum,long,"{""atr_window"": 14, ""regime_ema"": 200, ""rr"": 2.0, ""rsi_window"": 14, ""sl_atr"": 2.25, ""threshold"": 50.0}",-0.16360445063840884,-0.1620016269988264,-0.17211340886629228,-0.3177732661310789,0.09329655740227064,0.0,751,5,5,True,0.34356956126740057,1.8031566939490786,-1.193242824932423,0.7959504338183404,53.068135443890185,0.22564694461496454,-0.3102527293395442
6266037ed2de83,rsi_momentum,long,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 1.5, ""rsi_window"": 21, ""sl_atr"": 2.25, ""threshold"": 55.0}",-0.1693713270637304,-0.16991252626583525,-0.16471702079399173,-0.2523571621356682,0.06426308535567199,0.0,1177,5,5,True,0.41278023510205186,1.301222221823028,-1.2036975649495034,0.7635730991220251,69.61714271483461,0.23414261558463215,-0.30150286974156637
62918b235425ca,bollinger_reentry,long,"{""atr_window"": 17, ""regime_ema"": 200, ""rr"": 2.0, ""sl_atr"": 1.75, ""std_mult"": 2.5, ""window"": 60}",-0.06456347354672042,-0.07790815351342935,-0.14978308021995698,-0.4092257202132384,0.3784123524083747,0.2,75,5,5,True,0.39978632478632475,1.751203903487299,-1.273213470651792,1.069261423633083,7.983814222527864,0.3119746611011474,-0.4087696497509078
62e41cf1f5f66f,rsi_momentum,short,"{""atr_window"": 14, ""regime_ema"": 200, ""rr"": 2.5, ""rsi_window"": 14, ""sl_atr"": 2.25, ""threshold"": 60.0, ""weekday_filter"": ""mon_thu""}",-0.11006274343775155,-0.10994662581292383,-0.05888664468753782,-0.2850575914117684,0.09114728211278729,0.0,515,5,5,True,0.30047066120858307,2.3383026635673483,-1.1616732907513674,0.8698248819833589,40.669502985320115,0.18624625426032984,-0.25563638449414516
639c4de7ffb292,breakout_volume,long,"{""atr_window"": 14, ""lookback"": 48, ""rr"": 2.0, ""sl_atr"": 2.25, ""volume_mult"": 1.5, ""volume_window"": 96, ""weekday_filter"": ""weekdays""}",-0.13935251909007232,-0.1361257944760278,-0.14711222531116577,-0.20829799867870102,0.07219900142119301,0.0,525,5,5,True,0.34324928133983257,1.832022335271605,-1.1696244069106438,0.821941532804785,40.43301160696219,0.18709752387315354,-0.2754520198006688
642865f7384aa5,donchian_breakout,long,"{""atr_window"": 14, ""lookback"": 96, ""regime_ema"": 100, ""rr"": 2.5, ""session"": ""new_york"", ""sl_atr"": 2.25}",-0.27837040896031284,-0.2777324188209887,-0.31766727851726717,-0.380371533135477,0.08682674226184378,0.0,287,5,5,True,0.2601467129790994,2.3114021672443537,-1.189279219650929,0.6869415775439395,38.45351295861653,0.20392986108923689,-0.4261171134245681
644e77cd4e64d0,bollinger_fade,short,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 2.0, ""session"": ""high_liquidity"", ""sl_atr"": 2.25, ""std_mult"": 1.5, ""window"": 20}",-0.21754411416244154,-0.21314489927619243,-0.21271993609825826,-0.2536406847216461,0.030500006014634488,0.0,558,5,5,True,0.32777423608773376,1.8000420803924162,-1.2011997588592558,0.7312693415518108,36.35090450823379,0.2316095213337083,-0.3327941171697588
6582bead21b878,bollinger_reentry,short,"{""atr_window"": 14, ""regime_ema"": 100, ""rr"": 2.5, ""sl_atr"": 1.25, ""std_mult"": 2.5, ""window"": 20}",-0.3882167153289917,-0.4322229078071454,-0.3212268444266729,-1.0816676362125301,0.4144917773779336,0.2,114,5,5,True,0.27652613087395694,2.1981684532485417,-1.3759252728261677,0.6566083154949762,24.834760922866618,0.38060292977630295,-0.7374626040179586
65cdd3bc9c0475,macd_momentum,both,"{""atr_window"": 14, ""fast"": 8, ""regime_ema"": 0, ""rr"": 2.0, ""signal"": 5, ""sl_atr"": 2.25, ""slow"": 34}",-0.1754563040638976,-0.16690025461459448,-0.19320389160070908,-0.269258009920915,0.07268882715622266,0.0,1728,5,5,True,0.32902863389077586,1.836959247914581,-1.1624729078244498,0.7787341210002323,103.86109807182962,0.18768178865964696,-0.3118007176420089
65d6f82a9fb554,ema_cross,long,"{""atr_window"": 14, ""fast_ema"": 13, ""rr"": 2.0, ""sl_atr"": 2.25, ""slow_ema"": 144}",-0.1282066659436157,-0.0883734244806801,-0.1079643973173983,-0.42349677913306205,0.17224179271612083,0.2,426,5,5,True,0.3570567510924578,1.7782576025026402,-1.1878244786122625,0.8493230230746756,26.073776720601494,0.23257542338018342,-0.2943275623016761
66d66a4af706d8,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 14, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75, ""weekday_filter"": ""weekdays""}",-0.6167993214521535,-0.561422308925597,-0.6154782245892384,-1.3164109575189622,0.4199494149857438,0.0,106,5,5,True,0.1679484126984127,2.3377375842525367,-1.2079435916187797,0.43852376047019004,23.284955960709098,0.18956962971198416,-0.991440695611692
66e787c92aeb6a,breakout_volume,long,"{""atr_window"": 14, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 2.25, ""volume_mult"": 1.0, ""volume_window"": 20}",-0.24950512199672112,-0.23572400928743967,-0.21714347514790594,-0.3297897485903541,0.06059083358101242,0.0,509,5,5,True,0.27181094048390475,2.2935916960905343,-1.1980027141536422,0.7158595032690753,41.43400958212676,0.22507155498105935,-0.3798005387872273
671dce7450cb57,atr_expansion_breakout,long,"{""atr_mean_window"": 48, ""atr_window"": 17, ""expansion_mult"": 1.5, ""lookback"": 96, ""rr"": 2.5, ""sl_atr"": 1.75}",-0.6186817934300729,-0.5546158418293708,-0.5016012398063028,-1.361200333110459,0.4196788632908042,0.0,107,5,5,True,0.17393280632411065,2.3226096654049835,-1.2332617627938955,0.4432270007870918,24.749621329245215,0.22364096497195476,-0.9928545584088083
